자료명,메모,버전,사용 횟수,상태,최종 수정일,카테고리,태그,파일,효과성 점수
헬프미 vs 일반 로펌 경쟁 분석,헬프미 성공 공식 5가지 분석 완료,v1.0,15,승인,2026년 2월 1일,경쟁분석,2월필수,,⭐⭐⭐⭐⭐
1차 콜드메일 템플릿 B안,오픈율 42%. B안이 A안보다 우수,v1.0,100,사용중,2026년 2월 3일,이메일템플릿,"2월필수, 긴급",,⭐⭐⭐⭐⭐
프랜차이즈 법률자문 제안서 PT v1.0,헬프미 벤치마킹 전략 반영. 20~30페이지 분량,v1.0,12,사용중,2026년 2월 5일,제안서,"2월필수, 업종별",,⭐⭐⭐⭐⭐
프랜차이즈 성공 사례 3건,"외식 2건, 서비스 1건. 추가 사례 필요",v1.0,3,검토중,2026년 1월 28일,사례연구,업종별,,⭐⭐⭐
ROI 계산기 - 고객사 비용 절감 효과,엑셀 템플릿. 실제 데이터 기반 개선 필요,v1.0,1,초안,2026년 1월 25일,제안서,규모별,,⭐⭐
프랜차이즈 법률 FAQ 30개,"가맹사업법, 정보공개서, 권리금 분쟁 등 핵심 질문",v1.1,8,승인,2026년 2월 4일,FAQ,2월필수,,⭐⭐⭐⭐
미팅 스크립트 - 첫 미팅용,문제 공감(10분) → 솔루션(30분) → Q&A(20분) 구조,v1.0,5,승인,2026년 2월 2일,미팅스크립트,2월필수,,⭐⭐⭐⭐
가격표 - 3단계 패키지 (라이트/스탠다드/프리미엄),런칭 특가 반영. 월 40만원 기본,v1.1,10,사용중,2026년 2월 5일,가격표,"2월필수, 긴급",,⭐⭐⭐⭐⭐
프랜차이즈 법률자문 서비스 이용계약서 표준안,법무팀 검토 완료. 표준 계약서,v1.0,2,승인,2026년 1월 30일,계약서,2월필수,,⭐⭐⭐⭐
1차 콜드메일 템플릿 A안,오픈율 35%. A/B 테스트 완료,v1.0,100,사용중,2026년 2월 3일,이메일템플릿,"2월필수, 긴급",,⭐⭐⭐
