프로젝트명,체크박스,분류,시작일,종료일,상태,할일,선행 작업,후속 작업
,No,,,,,,,
💡 경쟁사 비교표 제작,No,기획,2026년 2월 8일,2026년 2월 12일,대기 중,,,
🎯 IBS 시너지 채널 구축 (로비스/변닷컴 연계),No,기획,2026년 4월 1일,2026년 3월 31일,대기 중,,,
📝 계약서 표준안 작성,No,기획,2026년 2월 7일,2026년 2월 14일,대기 중,,,
🎓 프랜차이즈 경영 아카데미 론칭,No,기획,2026년 4월 1일,2027년 12월 31일,대기 중,,,
🔍 Phase 3 회고 & Phase 4 전략 수립,No,기획,2027년 12월 15일,2027년 12월 31일,대기 중,,,
🎯 업종별 특화 서비스 패키지 개발,No,기획,2026년 2월 10일,2027년 8월 31일,대기 중,,,
🎥 고객 성공 케이스 마케팅 활용 방안 연구,No,기획,2026년 2월 10일,2026년 11월 30일,대기 중,,,
🔍 Phase 2 회고 & Phase 3 전략 수립,No,기획,2026년 12월 15일,2026년 12월 31일,대기 중,,,
🤝 프랜차이즈 협회 파트너십 구축,No,기획,2026년 3월 1일,2026년 7월 31일,대기 중,,,
🏢 프랜차이즈 박람회 참가 준비,No,기획,2026년 10월 1일,2026년 12월 31일,대기 중,,,
👨‍⚖️ 변호사 파트너 네트워크 구축,No,기획,2026년 8월 1일,2026년 11월 30일,대기 중,,,
🔍 Phase 1 회고 & Phase 2 전략 수립,No,기획,2026년 3월 5일,2026년 3월 31일,대기 중,,,
📚 프랜차이즈 전문 콘텐츠 허브 구축,No,기획,2026년 4월 1일,2026년 5월 31일,대기 중,,,
📖 고객 성공 스토리 5가지 | 실제 법률자문 여정,No,기획,2026년 5월 1일,2026년 6월 30일,대기 중,,,
🎁 고객 추천 프로그램 설계,No,기획,2026년 4월 1일,2026년 4월 30일,대기 중,,,
💰 가격표 & ROI 계산기 제작,No,기획,2026년 2월 7일,2026년 2월 9일,진행중,,,
📧 콜드메일 시퀀스 A/B 테스트 제작,No,기획,2026년 2월 6일,2026년 2월 9일,진행중,,,
🎯 타겟 DB 100개사 구축,No,기획,2026년 2월 6일,2026년 2월 9일,진행중,,,
❓ FAQ 30개 완성,No,기획,2026년 2월 7일,2026년 2월 9일,진행중,,,
📄 미팅 스크립트 & 제안서 템플릿 제작,No,기획,2026년 2월 10일,2026년 2월 14일,대기 중,,,
🎯 영업→계약 전체 프로세스 | 호식이 2마리 치킨 시뮬레이션,No,기획,2026년 2월 9일,2026년 2월 28일,진행중,,,
"프랜차이즈 법률지원 패키지 상품정의서 v3.0 (AI-Parsable) ",No,기획,,,,,,
,No,기획,,,,,,
📅 Calendly 미팅 예약 시스템 세팅,No,개발,2026년 2월 8일,2026년 2월 10일,대기 중,,,
💰 월간 매출 분석 대시보드 구축,No,개발,2026년 2월 15일,2026년 2월 28일,대기 중,,,
🔄 http://Make.com 자동화 시나리오 구축,No,개발,2026년 2월 15일,2026년 2월 28일,대기 중,,,
📊 CAC/LTV 추적 시스템 구축,No,개발,2026년 3월 1일,2026년 3월 20일,대기 중,,,
💬 고객 커뮤니티 플랫폼 구축,No,개발,2027년 7월 1일,2027년 10월 31일,대기 중,,,
💻 SaaS 플랫폼 MVP 개발,No,개발,2028년 1월 1일,2028년 6월 30일,대기 중,,,
🔗 변호사 매칭 시스템 구축,No,개발,2028년 4월 1일,2028년 8월 31일,대기 중,,,
🤖 AI 법률 자문 챗봇 개발,No,개발,2027년 1월 1일,2027년 4월 30일,대기 중,,,
📊 프랜차이즈 법률 리포트 자동화,No,개발,2027년 3월 1일,2027년 6월 30일,대기 중,,,
📊 고객 만족도 체크 시스템 구축,No,개발,2026년 3월 10일,2026년 3월 20일,대기 중,,,
⚙️ Lemlist 자동화 세팅,No,개발,2026년 2월 8일,2026년 2월 9일,대기 중,,,
🤝 첫 미팅 10건 진행,No,운영,2026년 2월 15일,2026년 2월 28일,대기 중,,,
🔥 Hot Lead 응대 프로세스 구축,No,운영,2026년 2월 10일,2026년 2월 14일,대기 중,,,
✅ 첫 계약 3건 확보 (Phase 1 목표),No,운영,2026년 2월 15일,2026년 2월 28일,대기 중,,,
🚀 1차 콜드메일 100개사 발송,No,운영,2026년 2월 10일,2026년 2월 10일,대기 중,,,
📨 2차 콜드메일 200개사 발송,No,운영,2026년 3월 1일,2026년 3월 10일,대기 중,,,
🎯 20개사 확보 완료 (Phase 1 완료),No,운영,2026년 3월 1일,2026년 3월 31일,대기 중,,,
⚡ 서비스 제공 표준 프로세스 수립,No,운영,2026년 3월 1일,2026년 3월 15일,대기 중,,,
👥 고객 온보딩 프로세스 구축,No,운영,2026년 2월 20일,2026년 2월 28일,대기 중,,,
🔎 SEO 최적화 & 블로그 운영,No,운영,2026년 4월 1일,2026년 12월 31일,대기 중,,,
🎓 웨비나 시리즈 기획 & 실행,No,운영,2026년 6월 1일,2026년 12월 31일,대기 중,,,
🎯 300개사 달성 (Phase 2 완료),No,운영,2026년 4월 1일,2026년 12월 31일,대기 중,,,
📰 PR 캠페인 (언론 보도 5건 이상),No,운영,2026년 7월 1일,2026년 10월 31일,대기 중,,,
"🏆 1,000개사 달성 (Phase 3 완료)",No,운영,2027년 1월 1일,2027년 12월 31일,대기 중,,,
🗺️ 전국 프랜차이즈 박람회 순회,No,운영,2027년 3월 1일,2027년 12월 31일,대기 중,,,
"👑 2,000개사 달성 (Phase 4 완료)",No,운영,2028년 1월 1일,2028년 12월 31일,대기 중,,,
📞 고객 응대 매뉴얼 & 스크립트 정리,No,운영,2026년 2월 10일,2026년 2월 20일,대기 중,,,
